ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE,REVENUE.MEDICAL_REVENUE_2015,REVENUE.SCIENTIFIC_REVENUE_2015,REVENUE.TECHNICAL_REVENUE_2015,REVENUE.MEDICAL_REVENUE_2016,REVENUE.SCIENTIFIC_REVENUE_2016,REVENUE.TECHNICAL_REVENUE_2016,USAGE.MEDICAL_NO_SESSIONS_2015,USAGE.SCIENTIFIC_NO_SESSIONS_2015,USAGE.TECHNICAL_NO_SESSIONS_2015,USAGE.MEDICAL_NO_SESSIONS_2016,USAGE.SCIENTIFIC_NO_SESSIONS_2016,USAGE.TECHNICAL_NO_SESSIONS_2016,USERS.USERS_2015,USERS.USERS_2016,NPS.NPS_SCORE_2015,NPS.NPS_SCORE_2016,Calc.TotalRevenue2015,Calc.TotalRevenue2016,Calc.IsLapsed
70228523,2014,SPAIN,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate,57,38,47.5,63,0,52.5,1,3,1,20,,1,1,1,,,142.5,115.5,0
76232444,2015,FRANCE,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Academic,57,38,47.5,117.6,0,98.7,6,1,,34,,27,1,2,7,,142.5,216.3,0
14990286,2016,RUSSIA,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Academic,0,0,0,0,149.6,0,,,,,40,,0,4,,,0,149.6,0
76860579,2013,UNITED STATES,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Corporate,60,0,50,0,79.8,0,1,,9,,6,,1,2,7,,110,79.8,0
14963780,2014,GERMANY,SENIOR MANAGER,$20-$50m,51 - 100 employees,Corporate,192,0,164,201.6,0,172.2,26,,57,70,,17,4,4,,,356,373.8,0
76914091,2012,SPAIN,SENIOR MANAGER,$50-$100m,51 - 100 employees,Research,57,38,47.5,0,0,0,4,,1,,,,1,0,7,,142.5,0,1
70466067,2013,IRELAND,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Corporate,60,0,50,117.6,79.8,0,1,,16,6,5,,1,2,8,,110,197.4,0
77046843,2014,NETHERLANDS,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,237.6,172.8,205.2,249.48,181.44,215.46,24,26,9,149,28,13,6,6,7,,615.6,646.38,0
14968721,2012,NETHERLANDS,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate,60,0,50,163.8,0,138.6,2,,11,9,,20,1,3,,,110,302.4,0
77247926,2012,GERMANY,SENIOR MANAGER,$20-$50m,51 - 100 employees,Corporate,57,38,47.5,155.61,107.73,131.67,4,1,7,25,3,3,1,3,7,,142.5,395.01,0
70502437,2015,SPAIN,SENIOR MANAGER,$50-$100m,51 - 100 employees,Corporate,105.28,71.44,88.36,153.97,106.6,130.28,1,1,4,8,59,22,2,3,,,265.08,390.85,0
77705710,2012,GERMANY,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research,57,38,47.5,63,0,52.5,29,3,2,41,,2,1,1,7,,142.5,115.5,0
14998045,2016,IRELAND,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate,0,0,0,66,0,55,,,,7,,28,0,1,,,0,121,0
77730009,2014,UNITED KINGDOM,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Academic,57,38,47.5,63,0,52.5,19,,,6,,1,1,1,7,,142.5,115.5,0
78286746,2015,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Corporate,57,38,47.5,59.85,39.9,49.88,6,2,8,15,1,,1,1,7,2,142.5,149.63,0
78367714,2015,RUSSIA,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Academic,264,192,0,277.2,0,239.4,16,79,,19,,40,6,6,7,,456,516.6,0
15001838,2015,SPAIN,MANAGER,Less than $20m,0 - 10 employees,Academic,57,38,47.5,111.72,75.81,93.77,2,1,,34,14,11,1,2,,,142.5,281.3,0
79055581,2013,UNITED KINGDOM,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research,60,0,0,0,0,0,4,,,,,,1,0,7,,60,0,1
15008741,2012,RUSSIA,MANAGER,$1bn+,1001 - 5000 employees,Research,57,38,47.5,155.61,107.73,131.67,,,,36,38,29,1,3,,,142.5,395.01,0
79498148,2013,UNITED STATES,DIRECTOR OF FUNCTION,$50-$100m,100 - 500 employees,Academic,112,0,94,117.6,0,98.7,16,,5,45,,28,2,2,7,5,206,216.3,0
71214766,2013,FRANCE,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic,60,0,50,0,79.8,98.7,1,,2,,18,35,1,2,8,,110,178.5,0
79526500,2013,UNITED STATES,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Academic,57,38,47.5,0,0,0,6,,1,,,,1,0,7,,142.5,0,1
15016335,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate,0,0,0,66,44,0,,,,5,31,,0,1,,,0,110,0
79805015,2015,FRANCE,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic,0,0,94,0,142.8,0,,,32,,68,,2,4,7,,94,142.8,0
80359792,2013,NETHERLANDS,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Academic,57,38,47.5,59.85,39.9,49.88,18,1,,2,,1,1,1,7,,142.5,149.63,0
71469937,2013,IRELAND,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Academic,57,38,47.5,59.85,39.9,49.88,1,,2,23,,,1,1,,9,142.5,149.63,0
80756568,2014,GERMANY,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Research,300,0,250,0,201.6,0,19,,40,,162,,5,6,7,,550,201.6,0
15064476,2012,RUSSIA,SENIOR MANAGER,Less than $20m,0 - 10 employees,Research,156,0,132,201.6,0,0,49,,10,116,,,3,4,8,7,288,201.6,0
81074781,2013,UNITED STATES,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Corporate,264,0,228,277.2,0,239.4,5,,12,1,,154,6,6,7,,492,516.6,0
15103762,2016,UNITED STATES,MANAGER,$1bn+,1001 - 5000 employees,Corporate,0,0,0,0,44,0,,,,,33,,0,1,,10,0,44,0
81369467,2015,UNITED STATES,SENIOR MANAGER,$20-$50m,51 - 100 employees,Corporate,0,136,164,0,0,172.2,,,,,,,4,4,7,,300,172.2,0
81466228,2012,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,237.6,172.8,205.2,249.48,181.44,215.46,49,11,5,2,106,113,6,6,7,5,615.6,646.38,0
71515640,2014,RUSSIA,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,60,0,50,163.8,113.4,0,1,,13,8,42,,1,3,,,110,277.2,0
81584275,2014,UNITED STATES,DIRECTOR OF FUNCTION,Less than $20m,0 - 10 employees,Corporate,57,38,47.5,0,0,0,2,1,6,,,,1,0,7,,142.5,0,1
15082435,2015,SPAIN,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Corporate,0,192,228,0,201.6,239.4,,30,41,,18,89,6,6,,,420,441,0
82143623,2012,GERMANY,MANAGER,$500m-$1bn,1001 - 5000 employees,Research,57,38,47.5,0,0,0,2,4,7,,,,1,0,7,,142.5,0,1
15140402,2016,RUSSIA,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Academic,0,0,0,0,149.6,180.4,,,,,94,77,0,4,,,0,330,0
82314219,2015,RUSSIA,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Academic,300,200,0,0,210,0,103,6,,,75,,5,5,7,8,500,210,0
15099303,2013,UNITED STATES,MANAGER,Less than $20m,0 - 10 employees,Academic,0,0,94,0,0,0,,,40,,,,2,0,,,94,0,1
82315614,2014,UNITED STATES,SENIOR MANAGER,$20-$50m,11 - 50 employees,Academic,237.6,172.8,205.2,249.48,181.44,215.46,44,15,,165,1,18,6,6,7,,615.6,646.38,0
71519863,2014,IRELAND,BOARD DIRECTOR,$1bn+,5000+ employees,Research,57,38,47.5,0,0,0,1,4,2,,,,1,0,,,142.5,0,1
83182416,2013,SPAIN,MANAGER,$100-$500m,501 - 1000 employees,Research,57,38,47.5,111.72,75.81,93.77,4,2,4,50,3,1,1,2,7,,142.5,281.3,0
71828429,2014,NETHERLANDS,MANAGER,Less than $20m,0 - 10 employees,Research,60,0,50,117.6,0,98.7,1,,15,17,,4,1,2,,,110,216.3,0
83348650,2015,GERMANY,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Research,0,0,50,0,0,0,,,19,,,,1,0,7,,50,0,1
15146811,2015,UNITED STATES,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Corporate,0,76,94,0,0,0,,17,4,,,,2,0,9,,170,0,1
83390442,2012,RUSSIA,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Academic,57,38,47.5,0,0,0,4,1,7,,,,1,0,7,,142.5,0,1
15159257,2016,SPAIN,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research,0,0,0,66,0,55,,,,9,,11,0,1,,,0,121,0
83502151,2015,FRANCE,DIRECTOR OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,60,0,50,163.8,113.4,0,6,,1,18,116,,1,3,7,,110,277.2,0
72000239,2012,IRELAND,SENIOR MANAGER,Less than $20m,0 - 10 employees,Research,57,38,47.5,0,0,0,1,,4,,,,1,0,,,142.5,0,1
84026942,2015,GERMANY,MANAGER,$20-$50m,51 - 100 employees,Academic,60,40,0,0,0,0,9,,,,,,1,0,7,,100,0,1
15164169,2014,BELGIUM,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Research,237.6,172.8,205.2,249.48,181.44,215.46,3,25,121,,3,2,6,6,,,615.6,646.38,0
84420673,2014,FRANCE,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Corporate,156,0,132,0,142.8,0,11,,36,,136,,3,4,7,7,288,142.8,0
15171073,2015,UNITED STATES,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic,60,0,50,0,113.4,0,17,,6,,24,,1,3,,,110,113.4,0
85378802,2015,NETHERLANDS,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Academic,0,0,228,0,201.6,0,,,126,,36,,6,6,7,0,228,201.6,0
72633604,2012,RUSSIA,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate,57,38,47.5,0,0,0,1,3,3,,,,1,0,,,142.5,0,1
85689964,2015,UNITED KINGDOM,MANAGER,$500m-$1bn,1001 - 5000 employees,Academic,0,192,228,277.2,0,239.4,,30,53,157,,4,6,6,7,,420,516.6,0
15176358,2016,GERMANY,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Academic,0,0,0,62.7,41.8,52.25,,,,14,2,,0,1,,,0,156.75,0
86210589,2014,UNITED STATES,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Corporate,176.64,125.12,150.88,201.6,142.8,0,40,25,49,137,2,,4,4,7,,452.64,344.4,0
15199397,2016,GERMANY,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Academic,0,0,0,275.88,200.64,238.26,,,,27,16,16,0,6,,,0,714.78,0
86279221,2015,RUSSIA,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Academic,60,0,0,0,0,98.7,13,,,,,80,1,2,7,9,60,98.7,0
72785217,2013,SPAIN,MANAGER,Less than $20m,0 - 10 employees,Academic,57,38,47.5,0,0,0,1,,1,,,,1,0,10,,142.5,0,1
86792751,2015,NETHERLANDS,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic,0,108,132,0,0,0,,4,22,,,,3,0,7,,240,0,1
15205801,2016,FRANCE,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Academic,0,0,0,211.2,0,180.4,,,,29,,82,0,4,,5,0,391.6,0
87590315,2014,UNITED STATES,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate,300,0,250,277.2,0,0,4,,1,174,,,5,6,7,,550,277.2,0
15218130,2016,GERMANY,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Academic,0,0,0,171.6,0,0,,,,102,,,0,3,,,0,171.6,0
88381886,2012,GERMANY,HEAD OF FUNCTION,$1bn+,5000+ employees,Corporate,105.28,71.44,88.36,0,0,0,,,,,,,2,0,7,,265.08,0,1
73030282,2014,IRELAND,MANAGER,Less than $20m,0 - 10 employees,Research,57,38,47.5,63,0,52.5,1,,,5,,8,1,1,,7,142.5,115.5,0
88403900,2015,FRANCE,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Academic,57,38,47.5,63,0,52.5,4,,,3,,14,1,1,7,3,142.5,115.5,0
15221044,2014,UNITED STATES,MANAGER,$50-$100m,100 - 500 employees,Corporate,60,0,50,63,0,52.5,18,,12,27,,6,1,1,,,110,115.5,0
89834997,2015,GERMANY,MANAGER,$50-$100m,51 - 100 employees,Corporate,0,136,164,201.6,0,172.2,,48,23,30,,5,4,4,7,,300,373.8,0
15243656,2016,UNITED KINGDOM,MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate,0,0,0,62.7,41.8,52.25,,,,19,,,0,1,,,0,156.75,0
89942977,2012,UNITED STATES,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Research,57,38,47.5,0,0,0,3,6,1,,,,1,0,7,,142.5,0,1
73374887,2012,UNITED STATES,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Academic,57,38,47.5,0,0,0,1,,1,,,,1,0,,,142.5,0,1
90071792,2014,GERMANY,MANAGER,$100-$500m,501 - 1000 employees,Corporate,57,38,47.5,0,113.4,138.6,1,5,,,3,2,1,3,7,3,142.5,252,0
15286805,2016,UNITED STATES,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Research,0,0,0,0,44,0,,,,,23,,0,1,,0,0,44,0
90269751,2013,SPAIN,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Corporate,156,0,132,0,142.8,0,17,,45,,40,,3,4,7,7,288,142.8,0
15301463,2016,BELGIUM,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate,0,0,0,0,149.6,0,,,,,48,,0,4,,,0,149.6,0
90854702,2014,BELGIUM,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Corporate,264,0,228,0,201.6,239.4,23,,90,,19,130,6,6,7,9,492,441,0
73542469,2012,UNITED STATES,MANAGER,Less than $20m,11 - 50 employees,Academic,57,38,47.5,63,0,52.5,1,3,16,26,,18,1,1,9,,142.5,115.5,0
91012141,2013,RUSSIA,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research,0,0,50,0,0,0,,,12,,,,1,0,7,,50,0,1
15305427,2014,NETHERLANDS,MANAGER,$50-$100m,100 - 500 employees,Academic,237.6,172.8,205.2,249.48,181.44,215.46,106,22,32,88,31,53,6,6,,9,615.6,646.38,0
91277713,2015,UNITED STATES,SENIOR MANAGER,$20-$50m,51 - 100 employees,Research,57,38,47.5,155.61,107.73,131.67,12,,,8,11,6,1,3,7,,142.5,395.01,0
15310315,2012,FRANCE,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Corporate,57,38,47.5,0,0,0,,,,,,,1,0,,,142.5,0,1
91392249,2013,SPAIN,MANAGER,$100-$500m,100 - 500 employees,Academic,57,38,47.5,63,42,0,,,,1,6,,1,1,7,,142.5,105,0
74653837,2014,NETHERLANDS,MANAGER,$100-$500m,501 - 1000 employees,Corporate,57,38,47.5,155.61,107.73,131.67,1,7,6,1,,,1,3,,,142.5,395.01,0
91649572,2015,SPAIN,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Corporate,57,38,47.5,155.61,107.73,131.67,3,,3,34,25,5,1,3,7,9,142.5,395.01,0
15319778,2014,FRANCE,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Research,273,182,227.5,277.2,0,239.4,61,4,35,75,,134,5,6,9,,682.5,516.6,0
91687741,2013,RUSSIA,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Academic,57,38,47.5,0,0,0,5,2,8,,,,1,0,7,,142.5,0,1
15330052,2012,IRELAND,MANAGER,$500m-$1bn,1001 - 5000 employees,Academic,112,0,0,0,0,0,18,,,,,,2,0,,,112,0,1
92273645,2012,UNITED STATES,SENIOR MANAGER,Less than $20m,11 - 50 employees,Corporate,0,0,50,0,0,0,,,16,,,,1,0,7,,50,0,1
75364154,2013,SPAIN,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate,237.6,172.8,205.2,249.48,181.44,215.46,1,20,20,60,31,58,6,6,10,,615.6,646.38,0
92515931,2014,GERMANY,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Research,237.6,172.8,205.2,0,201.6,239.4,116,7,7,,47,18,6,6,7,,615.6,441,0
15332098,2015,UNITED STATES,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Academic,60,0,0,0,79.8,0,14,,,,64,,1,2,,,60,79.8,0
92594021,2015,FRANCE,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate,0,40,50,0,0,0,,5,5,,,,1,0,7,,90,0,1
15360370,2014,UNITED STATES,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Academic,57,38,47.5,59.85,39.9,49.88,2,7,4,28,5,2,1,1,,,142.5,149.63,0
92917572,2014,SPAIN,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Academic,264,0,228,277.2,0,239.4,7,,10,151,,88,6,6,7,10,492,516.6,0
75471726,2013,BELGIUM,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Research,60,0,50,0,113.4,0,1,,11,,36,,1,3,,0,110,113.4,0
93552353,2013,UNITED KINGDOM,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic,176.64,125.12,150.88,255.02,185.47,220.25,23,,7,4,96,139,4,6,7,,452.64,660.74,0
15362642,2016,UNITED KINGDOM,MANAGER,$1bn+,1001 - 5000 employees,Academic,0,0,0,62.7,41.8,52.25,,,,2,,,0,1,,9,0,156.75,0
93614908,2015,SPAIN,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Corporate,0,40,50,0,0,0,,5,,,,,1,0,7,,90,0,1
15375555,2016,GERMANY,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Research,0,0,0,163.02,112.86,137.94,,,,31,7,,0,3,,,0,413.82,0
93666352,2012,UNITED KINGDOM,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Academic,60,0,50,163.8,0,138.6,4,,1,2,,18,1,3,7,,110,302.4,0
75596115,2012,SPAIN,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research,57,38,47.5,0,0,0,1,,,,,,1,0,,,142.5,0,1
94443771,2012,FRANCE,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Research,57,38,47.5,155.61,107.73,131.67,3,4,2,55,8,14,1,3,7,,142.5,395.01,0
94951086,2013,RUSSIA,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic,57,38,47.5,0,0,0,17,1,1,,,,1,0,7,,142.5,0,1
15386043,2016,UNITED KINGDOM,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Corporate,0,0,0,66,44,0,,,,,20,,0,1,,10,0,110,0
95192422,2015,UNITED STATES,MANAGER,$1bn+,5000+ employees,Academic,0,0,164,0,0,0,,,68,,,,4,0,7,,164,0,1
75790072,2015,NETHERLANDS,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Corporate,60,0,50,0,113.4,138.6,1,,8,,21,8,1,3,,,110,252,0
95426203,2015,IRELAND,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate,0,0,50,0,42,0,,,27,,36,,1,1,7,,50,42,0
15415466,2015,SPAIN,MANAGER,$20-$50m,51 - 100 employees,Research,264,192,0,277.2,0,239.4,66,,,6,,11,6,6,,10,456,516.6,0
95549921,2013,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate,237.6,172.8,205.2,277.2,0,239.4,25,21,7,116,,45,6,6,7,,615.6,516.6,0
15417505,2015,GERMANY,BOARD DIRECTOR,$1bn+,5000+ employees,Research,264,0,0,277.2,0,0,24,,,30,,,6,6,,,264,277.2,0
95551876,2012,FRANCE,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Academic,57,38,47.5,0,42,52.5,2,,5,,4,1,1,1,7,5,142.5,94.5,0
76175914,2012,UNITED STATES,SENIOR MANAGER,Less than $20m,11 - 50 employees,Academic,57,38,47.5,0,0,0,1,4,,,,,1,0,,,142.5,0,1
95703793,2012,UNITED KINGDOM,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Academic,60,0,50,63,0,52.5,21,,5,1,,5,1,1,7,,110,115.5,0
15428399,2015,UNITED STATES,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Academic,0,0,50,0,0,0,,,17,,,,1,0,,,50,0,1
96097411,2015,UNITED STATES,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Academic,60,0,0,0,0,0,13,,,,,,1,0,7,,60,0,1
15434167,2015,UNITED KINGDOM,MANAGER,Less than $20m,11 - 50 employees,Corporate,60,40,0,0,0,0,,3,,,,,1,0,,,100,0,1
96633108,2013,SPAIN,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Corporate,60,0,50,0,42,0,10,,9,,42,,1,1,7,,110,42,0
76457600,2012,NETHERLANDS,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,60,0,50,63,42,0,1,,10,5,14,,1,1,,,110,105,0
97661212,2015,GERMANY,MANAGER,$50-$100m,51 - 100 employees,Corporate,60,0,0,0,42,0,15,,,,1,,1,1,7,10,60,42,0
15439384,2015,SPAIN,SENIOR MANAGER,Less than $20m,11 - 50 employees,Corporate,57,38,47.5,155.61,107.73,131.67,18,1,2,,,,1,3,8,7,142.5,395.01,0
97729258,2013,RUSSIA,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,60,0,50,63,42,0,1,,5,19,5,,1,1,7,,110,105,0
15439659,2012,UNITED STATES,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Corporate,57,38,47.5,155.61,107.73,131.67,13,,,9,,2,1,3,,,142.5,395.01,0
98974743,2015,UNITED STATES,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Research,0,0,50,63,0,0,,,5,31,,,1,1,7,,50,63,0
76576758,2012,GERMANY,SENIOR MANAGER,$20-$50m,11 - 50 employees,Academic,60,0,50,0,42,52.5,1,,5,,3,11,1,1,,,110,94.5,0
99413730,2015,SPAIN,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,57,38,47.5,155.61,107.73,131.67,,,,72,6,1,1,3,7,,142.5,395.01,0
15442030,2015,RUSSIA,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Research,60,40,0,0,0,0,4,,,,,,1,0,,,100,0,1
99567596,2015,RUSSIA,MANAGER,$20-$50m,11 - 50 employees,Corporate,192,0,0,0,201.6,0,88,,,,240,,4,6,7,,192,201.6,0
15447982,2012,GERMANY,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Corporate,57,38,47.5,0,0,0,9,3,2,,,,1,0,,,142.5,0,1
15451946,2016,UNITED STATES,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Research,0,0,0,0,44,55,,,,,12,26,0,1,,,0,99,0
15452945,2013,GERMANY,MANAGER,$20-$50m,51 - 100 employees,Academic,57,38,47.5,0,0,0,2,,,,,,1,0,,,142.5,0,1
77364289,2015,UNITED KINGDOM,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Corporate,57,38,47.5,59.85,39.9,49.88,1,14,6,1,2,3,1,1,,,142.5,149.63,0
15462927,2015,NETHERLANDS,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Research,60,0,50,63,0,52.5,,,,28,,13,1,1,,,110,115.5,0
15465226,2016,FRANCE,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,0,0,0,0,211.2,250.8,,,,,1,136,0,6,,,0,462,0
77388522,2012,GERMANY,MANAGER,$100-$500m,501 - 1000 employees,Academic,60,0,50,0,113.4,138.6,1,,7,,,84,1,3,10,0,110,252,0
15485365,2016,IRELAND,MANAGER,Less than $20m,0 - 10 employees,Corporate,0,0,0,0,44,55,,,,,26,12,0,1,,,0,99,0
15515054,2015,UNITED KINGDOM,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Academic,0,0,50,0,0,138.6,,,21,,,60,1,3,8,,50,138.6,0
15525330,2012,UNITED KINGDOM,MANAGER,$100-$500m,501 - 1000 employees,Academic,57,38,47.5,0,0,0,,5,3,,,,1,0,,,142.5,0,1
78285122,2013,UNITED KINGDOM,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Corporate,57,38,47.5,117.6,0,98.7,1,23,1,12,,71,1,2,,,142.5,216.3,0
15531099,2014,IRELAND,MANAGER,$100-$500m,100 - 500 employees,Corporate,145.08,100.44,122.76,0,113.4,138.6,,,,,12,108,3,3,,9,368.28,252,0
78663571,2015,GERMANY,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Research,60,0,50,0,42,0,1,,1,,13,,1,1,9,,110,42,0
15534224,2016,UNITED KINGDOM,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Research,0,0,0,62.7,41.8,52.25,,,,26,,7,0,1,,,0,156.75,0
15539545,2014,RUSSIA,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate,57,38,47.5,163.8,0,138.6,8,3,,102,,5,1,3,9,,142.5,302.4,0
15743615,2014,UNITED STATES,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Academic,237.6,172.8,205.2,249.48,181.44,215.46,37,25,32,79,124,60,6,6,8,,615.6,646.38,0
78863367,2014,FRANCE,SENIOR MANAGER,$1bn+,5000+ employees,Corporate,60,0,50,163.8,113.4,0,1,,21,7,58,,1,3,10,7,110,277.2,0
15865818,2012,UNITED STATES,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Corporate,57,38,47.5,111.72,75.81,93.77,3,1,2,21,6,,1,2,8,,142.5,281.3,0
15544552,2014,UNITED KINGDOM,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Research,57,38,47.5,111.72,75.81,93.77,13,6,1,2,1,,1,2,,10,142.5,281.3,0
15573704,2014,IRELAND,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate,57,38,47.5,111.72,75.81,93.77,,,,,1,,1,2,,,142.5,281.3,0
16932196,2012,SPAIN,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Research,60,0,50,163.8,0,138.6,14,,13,11,,51,1,3,8,,110,302.4,0
78935505,2014,FRANCE,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Research,176.64,125.12,150.88,289.8,193.2,241.5,1,15,23,58,98,52,4,5,,,452.64,724.5,0
17122099,2014,UNITED KINGDOM,MANAGER,$100-$500m,501 - 1000 employees,Academic,57,38,47.5,155.61,107.73,131.67,8,8,,2,3,11,1,3,8,,142.5,395.01,0
15575016,2016,GERMANY,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Research,0,0,0,66,0,55,,,,16,,6,0,1,,,0,121,0
17310004,2014,UNITED STATES,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Academic,60,0,50,63,0,52.5,11,,11,1,,22,1,1,8,,110,115.5,0
15575134,2015,UNITED KINGDOM,SENIOR MANAGER,$20-$50m,11 - 50 employees,Corporate,300,200,0,315,0,0,17,62,,,,,5,5,10,,500,315,0
17606139,2015,SPAIN,MANAGER,$100-$500m,501 - 1000 employees,Corporate,264,192,0,0,0,239.4,112,7,,,,222,6,6,8,10,456,239.4,0
